-20	8.24498E-8	7.11595E-8	5.06785E-8	4.78316E-7	3.89713E-8	3.5631E-9	1.25E-11	8E-12	6.6E-12
-19	9.76927E-8	8.46806E-8	5.96204E-8	5.40327E-7	4.4333E-8	3.8503E-9	1.29E-11	8.6E-12	6.9E-12
-18	1.16293E-7	1.004326E-7	7.18401E-8	6.08158E-7	5.01884E-8	4.1805E-9	1.27E-11	8.5E-12	7.2E-12
-17	1.39235E-7	1.2251E-7	8.63145E-8	6.73021E-7	5.73264E-8	4.5312E-9	1.23E-11	8.5E-12	6.9E-12
-16	1.63203E-7	1.46705E-7	1.02693E-7	7.53952E-7	6.51679E-8	4.8285E-9	1.29E-11	8.3E-12	6.8E-12
-15	1.9326E-7	1.77324E-7	1.24579E-7	8.50221E-7	7.36055E-8	5.2401E-9	1.36E-11	8.5E-12	7.2E-12
-14	2.27992E-7	2.10748E-7	1.45461E-7	9.4807E-7	8.39264E-8	5.7101E-9	1.42E-11	8.8E-12	7.3E-12
-13	2.68774E-7	2.53276E-7	1.69317E-7	1.06662E-6	9.5438E-8	6.1564E-9	1.38E-11	9.3E-12	7.1E-12
-12	3.12879E-7	2.99222E-7	2.02428E-7	1.18955E-6	1.08241E-7	6.699E-9	1.38E-11	9.5E-12	7.3E-12
-11	3.64094E-7	3.50299E-7	2.40776E-7	1.32442E-6	1.23086E-7	7.1999E-9	1.46E-11	9.3E-12	7.1E-12
-10	4.26056E-7	4.14387E-7	2.81705E-7	1.46281E-6	1.39149E-7	7.7087E-9	1.57E-11	9.7E-12	7.1E-12
-9	4.93499E-7	4.89158E-7	3.26594E-7	1.61737E-6	1.5696E-7	8.2347E-9	1.62E-11	9.6E-12	7.4E-12
-8	5.75436E-7	5.57552E-7	3.78944E-7	1.79247E-6	1.77555E-7	8.8472E-9	1.59E-11	1.02E-11	7.6E-12
-7	6.61416E-7	6.56638E-7	4.45929E-7	1.98197E-6	1.99379E-7	9.5232E-9	1.66E-11	1.03E-11	7.6E-12
-6	7.64205E-7	7.54626E-7	5.12382E-7	2.18521E-6	2.2516E-7	1.02114E-8	1.79E-11	1.04E-11	7.8E-12
-5	8.79388E-7	8.79218E-7	5.92465E-7	2.38314E-6	2.53329E-7	1.08682E-8	1.92E-11	1.08E-11	8.3E-12
-4	1.00833E-6	1.01403E-6	6.9212E-7	2.59745E-6	2.8371E-7	1.16012E-8	1.98E-11	1.13E-11	8.5E-12
-3	1.15729E-6	1.16726E-6	8.05887E-7	2.83414E-6	3.18944E-7	1.24267E-8	2.03E-11	1.38E-11	8.9E-12
-2	1.31561E-6	1.33218E-6	9.19516E-7	3.08263E-6	3.58095E-7	1.32901E-8	2.21E-11	1.28E-11	9.3E-12
-1	1.49855E-6	1.52421E-6	1.05096E-6	3.34977E-6	4.01815E-7	1.40929E-8	2.35E-11	1.35E-11	9.8E-12
0	1.69393E-6	1.72647E-6	1.20252E-6	3.62238E-6	4.47126E-7	1.5047E-8	2.62E-11	1.42E-11	1.05E-11
1	1.91437E-6	1.95453E-6	1.356E-6	3.91494E-6	4.99262E-7	1.5998E-8	2.77E-11	1.53E-11	1.14E-11
2	2.15011E-6	2.21404E-6	1.52039E-6	4.22188E-6	5.56156E-7	1.69442E-8	2.91E-11	1.62E-11	1.21E-11
3	2.40157E-6	2.47593E-6	1.71743E-6	4.53034E-6	6.20119E-7	1.80152E-8	3.21E-11	1.78E-11	1.35E-11
4	2.68631E-6	2.77752E-6	1.93049E-6	4.88656E-6	6.86756E-7	1.88629E-8	3.51E-11	1.88E-11	1.45E-11
5	3.03116E-6	3.11004E-6	2.15693E-6	5.25289E-6	7.64836E-7	2.00671E-8	3.86E-11	2.07E-11	1.63E-11
6	3.37095E-6	3.47004E-6	2.40344E-6	5.59638E-6	8.41744E-7	2.14227E-8	4.23E-11	2.27E-11	1.82E-11
7	3.74197E-6	3.83584E-6	2.66202E-6	5.96982E-6	9.27588E-7	2.27627E-8	4.61E-11	2.51E-11	2.05E-11
8	4.13579E-6	4.257E-6	2.94319E-6	6.34028E-6	1.01583E-6	2.43783E-8	5.16E-11	2.7E-11	2.3E-11
9	4.6014E-6	4.65701E-6	3.25775E-6	6.74596E-6	1.11973E-6	2.5703E-8	5.81E-11	3.01E-11	2.63E-11
10	5.07779E-6	5.0954E-6	3.57655E-6	7.12848E-6	1.21971E-6	2.73012E-8	6.55E-11	3.31E-11	3.06E-11
11	5.55029E-6	5.56892E-6	3.92451E-6	7.56584E-6	1.3333E-6	2.86841E-8	7.34E-11	3.72E-11	3.52E-11
12	6.05543E-6	6.06551E-6	4.25732E-6	7.9474E-6	1.44959E-6	3.03686E-8	8.37E-11	4.15E-11	4.04E-11
13	6.60138E-6	6.58617E-6	4.64264E-6	8.33637E-6	1.57969E-6	3.22411E-8	9.53E-11	4.68E-11	4.81E-11
14	7.15669E-6	7.14232E-6	5.05359E-6	8.76046E-6	1.71578E-6	3.43339E-8	1.091E-10	5.31E-11	5.56E-11
15	7.75321E-6	7.68833E-6	5.47133E-6	9.2115E-6	1.85198E-6	3.62945E-8	1.243E-10	6.06E-11	6.53E-11
16	8.3907E-6	8.28979E-6	5.90989E-6	9.6717E-6	2.00586E-6	3.84045E-8	1.418E-10	6.89E-11	7.76E-11
17	9.0564E-6	8.88978E-6	6.36282E-6	1.012685E-5	2.16274E-6	4.01609E-8	1.645E-10	7.88E-11	9.05E-11
18	9.68005E-6	9.5178E-6	6.82928E-6	1.05509E-5	2.32547E-6	4.31747E-8	1.875E-10	8.98E-11	1.073E-10
19	1.035319E-5	1.016953E-5	7.30805E-6	1.10257E-5	2.48988E-6	4.53449E-8	2.177E-10	1.035E-10	1.246E-10
20	1.10473E-5	1.08303E-5	7.80212E-6	1.15095E-5	2.6646E-6	4.81125E-8	2.516E-10	1.203E-10	1.489E-10
21	1.18023E-5	1.14754E-5	8.31975E-6	1.19947E-5	2.84693E-6	5.15085E-8	2.915E-10	1.397E-10	1.753E-10
22	1.2559E-5	1.21443E-5	8.86497E-6	1.24743E-5	3.04796E-6	5.46036E-8	3.355E-10	1.627E-10	2.087E-10
23	1.32986E-5	1.28653E-5	9.41054E-6	1.29797E-5	3.24403E-6	5.74496E-8	3.856E-10	1.895E-10	2.5E-10
24	1.40413E-5	1.35683E-5	9.96432E-6	1.3472E-5	3.44324E-6	6.1555E-8	4.47E-10	2.216E-10	2.966E-10
25	1.47917E-5	1.42988E-5	1.05339E-5	1.39491E-5	3.6498E-6	6.61665E-8	5.188E-10	2.582E-10	3.646E-10
26	1.55738E-5	1.50175E-5	1.11142E-5	1.44231E-5	3.86241E-6	7.08194E-8	6.043E-10	3.029E-10	4.155E-10
27	1.63563E-5	1.57555E-5	1.17347E-5	1.48985E-5	4.09523E-6	7.49016E-8	7.057E-10	3.546E-10	4.827E-10
28	1.71799E-5	1.64832E-5	1.2329E-5	1.5403E-5	4.31679E-6	7.949E-8	8.213E-10	4.141E-10	5.78E-10
29	1.79887E-5	1.7256E-5	1.29229E-5	1.59192E-5	4.55958E-6	8.40752E-8	9.577E-10	4.843E-10	6.909E-10
30	1.87997E-5	1.80042E-5	1.35426E-5	1.64264E-5	4.81308E-6	8.96904E-8	1.1171E-9	5.649E-10	8.084E-10
31	1.96115E-5	1.87646E-5	1.41584E-5	1.69523E-5	5.06478E-6	9.60089E-8	1.3054E-9	6.678E-10	9.738E-10
32	2.04453E-5	1.95461E-5	1.48034E-5	1.74781E-5	5.31915E-6	1.022503E-7	1.5319E-9	7.847E-10	1.1429E-9
33	2.12677E-5	2.03141E-5	1.5427E-5	1.79789E-5	5.58971E-6	1.08671E-7	1.7886E-9	9.223E-10	1.3594E-9
34	2.21068E-5	2.10633E-5	1.6072E-5	1.84913E-5	5.86527E-6	1.16346E-7	2.0796E-9	1.0915E-9	1.5905E-9
35	2.29751E-5	2.18367E-5	1.67074E-5	1.90337E-5	6.13712E-6	1.23603E-7	2.4377E-9	1.2885E-9	1.8916E-9
36	2.37875E-5	2.26231E-5	1.73547E-5	1.95438E-5	6.4311E-6	1.3202E-7	2.8528E-9	1.535E-9	2.2317E-9
37	2.46498E-5	2.34022E-5	1.80127E-5	2.00626E-5	6.72601E-6	1.41249E-7	3.3152E-9	1.81E-9	2.6948E-9
38	2.5475E-5	2.41382E-5	1.86753E-5	2.06001E-5	7.02923E-6	1.49579E-7	3.8582E-9	2.0318E-9	3.1468E-9
39	2.6315E-5	2.49227E-5	1.93549E-5	2.11306E-5	7.3309E-6	1.59292E-7	4.5072E-9	2.2966E-9	3.7317E-9
40	2.70973E-5	2.57109E-5	2.00001E-5	2.16425E-5	7.64249E-6	1.70704E-7	5.2602E-9	2.6864E-9	4.3573E-9
