274.8	2163.28	2163.28	2163.28	2163.28	2163.28	2163.28	2163.28	2163.28
274.75	2163.1	2163.1	2163.1	2163.1	2163.1	2163.1	2163.1	2163.1
274.7	2153	2153	2153	2153	2153	2153	2153	2153
274.65	2176.61	2176.61	2176.61	2176.61	2176.61	2176.61	2176.61	2176.61
274.6	2153.52	2153.52	2153.52	2153.52	2153.52	2153.52	2153.52	2153.52
274.55	2146.82	2146.82	2146.82	2146.82	2146.82	2146.82	2146.82	2146.82
274.5	2165.38	2165.38	2165.38	2165.38	2165.38	2165.38	2165.38	2165.38
274.45	2146.59	2146.59	2146.59	2146.59	2146.59	2146.59	2146.59	2146.59
274.4	2175.03	2175.03	2175.03	2175.03	2175.03	2175.03	2175.03	2175.03
274.35	2163.88	2163.88	2163.88	2163.88	2163.88	2163.88	2163.88	2163.88
274.3	2153.79	2153.79	2153.79	2153.79	2153.79	2153.79	2153.79	2153.79
274.25	2161.08	2161.08	2161.08	2161.08	2161.08	2161.08	2161.08	2161.08
274.2	2191.92	2191.92	2191.92	2191.92	2191.92	2191.92	2191.92	2191.92
274.15	2150.5	2150.5	2150.5	2150.5	2150.5	2150.5	2150.5	2150.5
274.1	2159.53	2159.53	2159.53	2159.53	2159.53	2159.53	2159.53	2159.53
274.05	2166.55	2166.55	2166.55	2166.55	2166.55	2166.55	2166.55	2166.55
274	2129.78	2129.78	2129.78	2129.78	2129.78	2129.78	2129.78	2129.78
273.95	2139.22	2139.22	2139.22	2139.22	2139.22	2139.22	2139.22	2139.22
273.9	2142.9	2142.9	2142.9	2142.9	2142.9	2142.9	2142.9	2142.9
273.85	2173.93	2173.93	2173.93	2173.93	2173.93	2173.93	2173.93	2173.93
273.8	2152.49	2152.49	2152.49	2152.49	2152.49	2152.49	2152.49	2152.49
273.75	2159.63	2159.63	2159.63	2159.63	2159.63	2159.63	2159.63	2159.63
273.7	2149.39	2149.39	2149.39	2149.39	2149.39	2149.39	2149.39	2149.39
273.65	2124.75	2124.75	2124.75	2124.75	2124.75	2124.75	2124.75	2124.75
273.6	2137.58	2137.58	2137.58	2137.58	2137.58	2137.58	2137.58	2137.58
273.55	2127.01	2127.01	2127.01	2127.01	2127.01	2127.01	2127.01	2127.01
273.5	2134.86	2134.86	2134.86	2134.86	2134.86	2134.86	2134.86	2134.86
273.45	2152.67	2152.67	2152.67	2152.67	2152.67	2152.67	2152.67	2152.67
273.4	2124.59	2124.59	2124.59	2124.59	2124.59	2124.59	2124.59	2124.59
273.35	2131.26	2131.26	2131.26	2131.26	2131.26	2131.26	2131.26	2131.26
273.3	2104.51	2104.51	2104.51	2104.51	2104.51	2104.51	2104.51	2104.51
273.25	2133.21	2133.21	2133.21	2133.21	2133.21	2133.21	2133.21	2133.21
273.2	2147.64	2147.64	2147.64	2147.64	2147.64	2147.64	2147.64	2147.64
273.15	2112.68	2112.68	2112.68	2112.68	2112.68	2112.68	2112.68	2112.68
273.1	2123.71	2123.71	2123.71	2123.71	2123.71	2123.71	2123.71	2123.71
273.05	2129.27	2129.27	2129.27	2129.27	2129.27	2129.27	2129.27	2129.27
