172.15	631.584	588.049	588.049	588.049	588.049
172.1	621.207	587.964	587.964	587.964	587.964
172.05	613.032	587.9	587.9	587.9	587.9
172	583.003	587.888	587.888	587.888	587.888
171.95	579.85	587.867	587.867	587.867	587.867
171.9	563.757	587.806	587.806	587.806	587.806
171.85	606.007	587.76	587.76	587.76	587.76
171.8	597.552	587.735	587.735	587.735	587.735
171.75	600.019	587.703	587.703	587.703	587.703
171.7	607.76	587.652	587.652	587.652	587.652
171.65	576.2	587.623	587.623	587.623	587.623
171.6	567.069	587.571	587.571	587.571	587.571
171.55	571.188	587.53	587.53	587.53	587.53
171.5	577.219	587.503	587.503	587.503	587.503
171.45	569.063	587.457	587.457	587.457	587.457
171.4	569.768	587.412	587.412	587.412	587.412
171.35	604.954	587.367	587.367	587.367	587.367
171.3	580.169	587.349	587.349	587.349	587.349
171.25	602.047	587.311	587.311	587.311	587.311
171.2	638.069	587.182	587.182	587.182	587.182
171.15	597.914	587.155	587.155	587.155	587.155
171.1	597.595	587.128	587.128	587.128	587.128
171.05	571.97	587.09	587.09	587.09	587.09
171	570.352	587.047	587.047	587.047	587.047
170.95	552.086	586.958	586.958	586.958	586.958
170.9	608.817	586.903	586.903	586.903	586.903
170.85	599.116	586.872	586.872	586.872	586.872
170.8	597.455	586.845	586.845	586.845	586.845
170.75	595.447	586.823	586.823	586.823	586.823
170.7	595.176	586.801	586.801	586.801	586.801
170.65	577.47	586.778	586.778	586.778	586.778
170.6	595.838	586.755	586.755	586.755	586.755
170.55	557.354	586.68	586.68	586.68	586.68
170.5	569.619	586.637	586.637	586.637	586.637
170.45	577.364	586.613	586.613	586.613	586.613
170.4	587.422	586.611	586.611	586.611	586.611
170.35	576.548	586.586	586.586	586.586	586.586
170.3	584.283	586.58	586.58	586.58	586.58
170.25	581.371	586.567	586.567	586.567	586.567
170.2	549.705	586.473	586.473	586.473	586.473
170.15	545.567	586.369	586.369	586.369	586.369
170.1	536.886	586.244	586.244	586.244	586.244
170.05	519.488	586.074	586.074	586.074	586.074
170	542.728	585.964	585.964	585.964	585.964
169.95	557.653	585.893	585.893	585.893	585.893
169.9	563.554	585.836	585.836	585.836	585.836
169.85	564.626	585.782	585.782	585.782	585.782
169.8	561.342	585.72	585.72	585.72	585.72
169.75	545.62	585.619	585.619	585.619	585.619
169.7	561.994	585.559	585.559	585.559	585.559
169.65	554.346	585.479	585.479	585.479	585.479
169.6	548.498	585.386	585.386	585.386	585.386
169.55	576.268	585.363	585.363	585.363	585.363
169.5	555.345	585.286	585.286	585.286	585.286
169.45	581.555	585.277	585.277	585.277	585.277
169.4	589.387	585.266	585.266	585.266	585.266
169.35	566.61	585.219	585.219	585.219	585.219
169.3	583.626	585.215	585.215	585.215	585.215
169.25	621.758	585.122	585.122	585.122	585.122
169.2	595.027	585.097	585.097	585.097	585.097
169.15	581.772	585.088	585.088	585.088	585.088
169.1	579.85	585.075	585.075	585.075	585.075
169.05	595.2	585.049	585.049	585.049	585.049
169	589.619	585.037	585.037	585.037	585.037
168.95	576.127	585.015	585.015	585.015	585.015
168.9	580.068	585.002	585.002	585.002	585.002
168.85	589.116	584.992	584.992	584.992	584.992
168.8	562.916	584.936	584.936	584.936	584.936
168.75	583.366	584.932	584.932	584.932	584.932
168.7	586.543	584.928	584.928	584.928	584.928
168.65	561.473	584.868	584.868	584.868	584.868
168.6	578.223	584.851	584.851	584.851	584.851
168.55	614.563	584.776	584.776	584.776	584.776
168.5	603.795	584.727	584.727	584.727	584.727
168.45	615.36	584.649	584.649	584.649	584.649
168.4	629.363	584.535	584.535	584.535	584.535
168.35	627.856	584.425	584.425	584.425	584.425
168.3	621.589	584.33	584.33	584.33	584.33
168.25	625.167	584.226	584.226	584.226	584.226
168.2	630.932	584.107	584.107	584.107	584.107
168.15	624.307	584.004	584.004	584.004	584.004
168.1	630.048	583.887	583.887	583.887	583.887
168.05	643.24	583.735	583.735	583.735	583.735
168	639.672	583.593	583.593	583.593	583.593
167.95	628.44	583.478	583.478	583.478	583.478
167.9	595.587	583.448	583.448	583.448	583.448
167.85	619.701	583.355	583.355	583.355	583.355
167.8	618.687	583.265	583.265	583.265	583.265
167.75	629.097	583.148	583.148	583.148	583.148
167.7	631.579	583.025	583.025	583.025	583.025
167.65	611.342	582.953	582.953	582.953	582.953
167.6	597.166	582.916	582.916	582.916	582.916
167.55	616.842	582.83	582.83	582.83	582.83
167.5	602.549	582.78	582.78	582.78	582.78
167.45	586.697	582.77	582.77	582.77	582.77
167.4	581.275	582.766	582.766	582.766	582.766
167.35	584.727	582.761	582.761	582.761	582.761
167.3	590.169	582.742	582.742	582.742	582.742
167.25	562.163	582.69	582.69	582.69	582.69
167.2	578.947	582.68	582.68	582.68	582.68
167.15	575.847	582.663	582.663	582.663	582.663
167.1	580.859	582.658	582.658	582.658	582.658
167.05	582.014	582.657	582.657	582.657	582.657
167	574.08	582.635	582.635	582.635	582.635
166.95	577.388	582.622	582.622	582.622	582.622
166.9	571.048	582.592	582.592	582.592	582.592
166.85	563.617	582.544	582.544	582.544	582.544
166.8	565.934	582.502	582.502	582.502	582.502
166.75	582.743	582.501	582.501	582.501	582.501
166.7	552.67	582.426	582.426	582.426	582.426
166.65	554.843	582.356	582.356	582.356	582.356
166.6	538.31	582.244	582.244	582.244	582.244
166.55	559.952	582.188	582.188	582.188	582.188
166.5	573.225	582.165	582.165	582.165	582.165
166.45	565.683	582.123	582.123	582.123	582.123
166.4	552.071	582.047	582.047	582.047	582.047
166.35	520.024	581.889	581.889	581.889	581.889
166.3	525.625	581.747	581.747	581.747	581.747
166.25	536.963	581.633	581.633	581.633	581.633
166.2	532.047	581.507	581.507	581.507	581.507
166.15	563.718	581.462	581.462	581.462	581.462
166.1	537.721	581.351	581.351	581.351	581.351
166.05	539.136	581.244	581.244	581.244	581.244
166	518.696	581.086	581.086	581.086	581.086
165.95	537.953	580.976	580.976	580.976	580.976
165.9	554.138	580.908	580.908	580.908	580.908
165.85	537.064	580.797	580.797	580.797	580.797
165.8	527.808	580.663	580.663	580.663	580.663
165.75	545.891	580.574	580.574	580.574	580.574
165.7	535.698	580.461	580.461	580.461	580.461
165.65	535.133	580.346	580.346	580.346	580.346
165.6	560.333	580.295	580.295	580.295	580.295
165.55	562.627	580.25	580.25	580.25	580.25
165.5	563.061	580.206	580.206	580.206	580.206
165.45	547.257	580.123	580.123	580.123	580.123
165.4	533.708	580.005	580.005	580.005	580.005
165.35	537.706	579.898	579.898	579.898	579.898
165.3	531.26	579.774	579.775	579.774	579.775
165.25	528.001	579.643	579.643	579.643	579.643
165.2	545.809	579.557	579.558	579.557	579.558
165.15	494.809	579.342	579.344	579.342	579.344
165.1	513.959	579.177	579.179	579.177	579.179
165.05	501.516	578.98	578.984	578.98	578.984
165	476.507	578.72	578.728	578.72	578.728
164.95	461.288	578.422	578.436	578.422	578.436
164.9	469.308	578.145	578.171	578.145	578.171
164.85	475.395	577.884	577.931	577.884	577.931
164.8	464.517	577.597	577.679	577.597	577.679
164.75	466.935	577.316	577.457	577.316	577.457
164.7	476.862	577.061	577.301	577.061	577.301
164.65	508.59	576.888	577.29	576.888	577.29
164.6	520.835	576.746	577.41	576.746	577.41
164.55	493.028	576.533	577.617	576.533	577.617
164.5	517.837	576.384	578.125	576.384	578.125
